poi,latlon
babelmandeb,"[[12.6153125, 43.6009375], [13.241875, 43.104375]]"
bering,"[[65.9625, -169.15], [64.741875, -169.0284375]]"
corinth,"[[38.050390625, 22.87638671875], [37.84139160156249, 23.276650390625]]"
dover,"[[50.852913818359376, 1.494546508789062], [51.13941040039063, 1.49522216796875], [50.901752929687504, 1.066029052734375], [51.13941040039063, 1.49522216796875], [50.852913818359376, 1.494546508789062], [51.16721313476562, 1.812779541015625]]"
gibraltar,"[[36.043620605468746, -5.32583984375], [35.907412109375, -5.716416015625001]]"
kiel,"[[53.88125, 9.1040625], [54.45106811523438, 10.145814208984376]]"
magellan,"[[-53.61, -70.29], [-53.4425, -70.7125], [-54.41, -69.205], [-54.1525, -70.105], [-53.61, -70.29], [-52.8225, -74.1825], [-53.06, -73.5575], [-53.23, -73.2825], [-53.33, -73.085], [-53.555, -72.4], [-53.6575, -72.1875], [-53.75, -71.9925], [-53.8725, -71.5725], [-53.915, -71.4125], [-53.940625, -71.170625], [-52.9625, -70.57], [-53.4425, -70.7125], [-53.940625, -71.170625], [-54.08, -70.945], [-53.940625, -71.170625], [-53.76, -70.875], [-53.61, -70.29], [-53.4425, -69.5075], [-52.4, -68.0], [-52.47, -68.5], [-52.415, -68.915], [-52.41, -69.3975], [-52.5975, -69.7175], [-52.7075, -70.27], [-52.755, -70.4525], [-52.9625, -70.57], [-53.4425, -70.7125], [-53.76, -70.875], [-53.76, -70.875], [-52.9625, -70.57]]"
malacca,"[[1.355, 103.555], [1.1, 103.6], [1.1, 103.6], [1.58, 102.9675]]"
northeast,"[[77.6975, 100.54125], [77.855, 106.48125], [77.855, 106.48125], [77.73125, 108.02125], [76.5425, 106.855], [76.9025, 107.6925], [77.73125, 108.02125], [76.405, 101.915], [76.5425, 100.9375], [77.6975, 100.54125], [73.245, 106.8875], [75.2475, 113.8925], [77.4875, 96.92625], [77.52875, 98.58125], [75.2475, 113.8925], [76.7825, 114.24125], [76.225, 97.395], [77.4875, 96.92625], [77.15, 106.07], [77.855, 106.48125], [77.73125, 108.02125], [76.7825, 114.24125], [77.52875, 98.58125], [77.6975, 100.54125], [76.0025, 99.89], [76.4025, 98.8275], [77.52875, 98.58125], [75.2475, 113.8925], [75.635, 119.08375], [75.635, 119.08375], [74.58, 124.3575], [74.06375, 130.85], [74.155, 80.8375], [76.065, 88.36], [77.4875, 96.92625], [76.7825, 114.24125], [75.635, 119.08375]]"
northwest,"[[74.455, -99.995], [74.32, -104.945], [70.7475, -99.1875], [72.6, -103.6375], [73.4025, -103.4475], [75.16, -93.01], [74.55, -93.105], [74.3425, -92.685], [74.3425, -92.685], [74.1525, -92.3], [74.455, -99.995], [74.8025, -98.8525], [74.2975, -96.415], [74.455, -99.995], [74.145, -111.295], [72.905, -117.76], [70.06, -122.995], [74.2975, -96.415], [71.8125, -96.075], [70.7475, -99.1875], [74.6, -108.895], [74.145, -111.295], [74.32, -104.945], [74.145, -111.295], [74.31875, -89.06], [74.3425, -92.685], [74.32, -104.945], [74.62, -105.4375], [75.75, -104.805], [77.8775, -107.585], [74.54875, -126.67], [74.62, -126.0425], [74.72, -120.5475], [74.145, -111.295], [73.4025, -103.4475], [74.455, -99.995], [74.3425, -92.685], [74.2975, -96.415], [75.07, -97.1], [74.2975, -96.415], [73.4025, -103.4475], [74.32, -104.945]]"
panama,"[[8.948125, -79.57125], [8.6, -79.5], [9.3784375, -79.8684375], [9.185, -79.8625], [8.948125, -79.57125], [8.948125, -79.57125], [8.235, -78.525]]"
suez,"[[29.70375, 32.63125], [29.94375, 32.5525], [31.125, 32.315], [31.396875, 32.385625]]"
